HIP,RAICRS,DEICRS,Vmag,Plx,pmRA,pmDE,BV
8240,26.52469172,-50.81621317,5.49,4.80,43.66,-17.45,1.615
8241,26.52557865,-53.52218065,5.04,17.54,126.45,59.04,0.031
8362,26.93360110,63.85310111,5.63,100.24,582.05,-246.83,0.804
8387,27.04542790,16.95563093,5.86,11.37,55.87,-32.97,-0.039
8404,27.10843265,3.68540364,5.91,9.95,-9.17,17.68,0.970
8423,27.16184118,37.95293583,5.94,10.57,111.84,-27.04,0.975
8433,27.17366149,32.68948705,5.78,36.65,-166.73,297.35,0.572
8497,27.39662961,-10.68618074,4.66,42.35,-148.90,-94.47,0.333
8544,27.53575113,22.27535660,5.83,5.68,-14.32,-7.55,0.743
8588,27.71672491,11.04344590,5.92,23.46,-69.33,-27.84,0.302
8593,27.72699465,-50.20612713,5.94,13.37,-47.97,-4.30,0.154
8598,27.73786884,51.93369809,5.96,22.42,41.16,-115.50,0.419
8645,27.86504416,-10.33494526,3.74,12.59,38.78,-38.04,1.136
8704,27.99711412,55.14740479,5.53,3.17,12.53,-8.25,-0.175
8714,28.03897527,50.79286359,5.70,6.63,18.39,-28.68,-0.067
8778,28.21703176,-16.92912351,5.78,9.87,41.36,-51.94,0.260
8796,28.27041595,29.57939727,3.42,50.87,12.02,-233.69,0.488
8814,28.32229965,40.72979974,5.42,6.04,-9.60,-4.17,1.311
8832,28.38235506,19.29409264,3.88,15.96,79.43,-99.10,-0.047
8833,28.38890233,3.18747844,4.61,17.11,23.69,23.90,0.928
8837,28.41174872,-46.30244631,4.39,10.15,-92.38,-91.46,1.597
8882,28.59191795,-42.49688104,5.12,10.55,-34.32,-28.34,-0.060
8886,28.59868107,63.67014686,3.35,7.38,31.98,-18.66,-0.150
8903,28.65978771,20.80829949,2.64,54.74,96.32,-108.80,0.165
8928,28.73339519,-67.64748114,4.68,15.04,76.00,73.17,0.931
8993,28.96263355,23.57734317,5.76,6.25,12.06,-8.88,1.185
9001,28.97697359,37.27780093,5.89,3.29,9.42,-6.27,1.599
9007,28.98680207,-51.60958673,3.69,57.19,681.24,284.23,0.844
9009,29.00001575,68.68526545,4.97,4.65,13.82,-9.73,-0.084
9021,29.03845779,37.25180400,5.69,10.18,182.88,10.54,1.060
9061,29.16732782,-22.52671153,4.92,8.18,62.22,-30.19,1.434
9095,29.29163705,-47.38529869,4.82,12.22,101.65,8.79,0.864
9110,29.33763922,17.81758940,5.09,4.95,34.28,-23.71,0.921
9132,29.43223051,27.80452380,5.84,6.85,13.40,-58.83,1.576
9153,29.48239763,23.59609610,4.79,24.49,-91.51,-14.45,0.290
9222,29.63958177,49.20425200,5.70,13.25,6.26,41.23,1.005
9236,29.69113269,-61.56992444,2.86,45.74,262.54,26.88,0.290
9307,29.89831329,21.05860461,5.89,8.17,140.80,-14.35,1.031
9312,29.90828959,64.62163894,5.29,12.69,35.76,-15.22,0.002
9313,29.91189289,-42.03028941,5.57,12.55,-50.58,-99.76,1.052
9326,29.94245126,-20.82457549,5.43,4.88,17.93,15.20,1.640
9347,30.00093670,-21.07777193,3.99,10.84,133.01,-24.53,1.554
9353,30.03760293,3.09763527,5.89,32.18,231.21,-255.20,0.610
9372,30.11154942,-8.52382616,5.43,5.50,86.73,-19.32,1.391
9440,30.31165140,-30.00156583,5.34,11.71,-108.68,-108.79,0.883
9459,30.42667654,-44.71339037,5.15,8.76,-31.80,-48.79,1.471
9480,30.48979079,70.90704605,4.49,27.91,-54.46,-10.69,0.164
9487,30.51166929,2.76376048,3.82,23.45,33.29,-0.42,0.024
9505,30.57530917,54.48754946,4.99,4.41,33.79,-3.40,-0.071
9533,30.64615770,13.47672808,5.97,3.86,-0.08,-4.99,1.584
9570,30.74152860,33.28415151,5.50,8.81,-15.99,-6.75,0.029
9572,30.74397324,-15.30594985,5.87,9.91,25.62,7.32,0.966
9573,30.75078582,64.39002289,5.59,0.94,-0.98,-1.95,0.325
9589,30.79835710,0.12845397,5.42,11.31,75.85,21.74,0.146
9598,30.85912643,72.42123962,3.95,20.12,-44.00,22.51,-0.002
9621,30.91359346,25.93544879,5.64,18.90,125.66,9.27,0.537
9622,30.91868509,-4.10336397,5.61,4.98,6.62,-62.67,1.589
9631,30.95051270,-0.34014611,5.96,9.89,82.76,-43.09,0.851
9640,30.97466283,42.32984832,2.10,9.19,43.08,-50.85,1.370
9677,31.12262534,-29.29683966,4.68,9.03,12.56,8.54,-0.156
9727,31.27938922,77.28145654,5.27,29.80,138.90,-47.56,0.345
9763,31.38157411,76.11511028,5.22,7.65,-12.19,-20.49,0.954
9836,31.64130188,22.64840404,5.03,17.40,20.62,-35.84,0.121
9884,31.79285757,23.46277743,2.01,49.48,190.73,-145.77,1.151
